"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","LMT","Lockheed Martin Corp","Industrials",-13.3
"1Q23","FRSH","Freshworks Inc","Information Technology",-13.1
"1Q23","YMM","Full Truck Alliance Co Ltd","Industrials",-12.7
"1Q23","AA","Alcoa Corp","Materials",-12.4
"1Q23","EPC","Edgewell Personal Care Co","Consumer Staples",-12.4
"1Q23","QLYS","Qualys Inc","Information Technology",-12.4
"1Q23","HON","Honeywell International Inc","Industrials",-12.3
"1Q23","AZN","AstraZeneca PLC","Health Care",-11.9
"1Q23","ENOV","Enovis Corp","Health Care",-11.9
"1Q23","FHN","First Horizon Corp","Financials",-11.9
"1Q23","VRT","Vertiv Holdings Co","Industrials",-11.4
"1Q23","ATI","ATI Inc","Materials",-11.2
"1Q23","GIL","Gildan Activewear Inc","Consumer Discretionary",-11.2
"1Q23","FWONA","Liberty Media Corp","Communication Services",-11.1
"1Q23","LYB","LyondellBasell Industries NV","Materials",-11.1
"1Q23","MTD","Mettler-Toledo International Inc","Health Care",-11.1
"1Q23","PGR","Progressive Corp","Financials",-11
"1Q23","SPG","Simon Property Group Inc","Real Estate",-11
"1Q23","TECH","Bio-Techne Corp","Health Care",-11
"1Q23","KMB","Kimberly-Clark Corp","Consumer Staples",-10.8
"1Q23","EQIX","Equinix Inc","Real Estate",-10.6
"1Q23","TBPH","Theravance Biopharma Inc","Health Care",-10.6
"1Q23","TRGP","Targa Resources Corp","Energy",-10.6
"1Q23","AMH","American Homes 4 Rent","Real Estate",-10.4
"1Q23","CYH","Community Health Systems Inc","Health Care",-10.2
"1Q23","CSGP","CoStar Group Inc","Industrials",-10.1
"1Q23","OSG","Overseas Shipholding Group Inc","Energy",-10
"1Q23","GRBK","Green Brick Partners Inc","Consumer Discretionary",-9.9
"1Q23","NUVB","Nuvation Bio Inc","Health Care",-9.9
"1Q23","AON","Aon PLC","Financials",-9.6
"1Q23","NVT","nVent Electric PLC","Industrials",-9.6
"1Q23","IONS","Ionis Pharmaceuticals Inc","Health Care",-9.5
"1Q23","ACMR","ACM Research Inc","Information Technology",-9.4
"1Q23","AGI","Alamos Gold Inc","Materials",-9.4
"1Q23","MELI","MercadoLibre Inc","Consumer Discretionary",-9.4
