"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"3Q21","RL","Ralph Lauren Corp","Consumer Discretionary",3.4
"3Q21","ROCC","Ranger Oil Corp","Energy",3.4
"3Q21","SBGI","Sinclair Broadcast Group Inc","Communication Services",3.4
"3Q21","VTOL","Bristow Group Inc","Energy",3.4
"3Q21","ARNC","Arconic Corp (PITTSBURGH)","Materials",3.3
"3Q21","AVB","Avalonbay Communities Inc","Real Estate",3.3
"3Q21","UHAL","U-Haul Holding Co","Industrials",3.3
"3Q21","VRNS","Varonis Systems Inc","Information Technology",3.3
"3Q21","WDC","Western Digital Corp","Information Technology",3.3
"3Q21","BV","Brightview Holdings Inc","Industrials",3.2
"3Q21","LMT","Lockheed Martin Corp","Industrials",3.2
"3Q21","MCS","Marcus Corp","Communication Services",3.2
"3Q21","BHC","Bausch Health Companies Inc","Health Care",3.1
"3Q21","RMD","Resmed Inc","Health Care",3.1
"3Q21","CENT","Central Garden & Pet Co","Consumer Staples",3
"3Q21","GOOGL","Alphabet Inc","Communication Services",3
"3Q21","HALO","Halozyme Therapeutics Inc","Health Care",3
"3Q21","KRNT","Kornit Digital Ltd","Industrials",3
"3Q21","OKE","ONEOK Inc","Energy",3
"3Q21","PEP","PepsiCo Inc","Consumer Staples",3
"3Q21","SNPS","Synopsys Inc","Information Technology",3
"3Q21","CGAU","Centerra Gold Inc","Materials",2.9
"3Q21","CLS","Celestica Inc","Information Technology",2.9
"3Q21","CPT","Camden Property Trust","Real Estate",2.9
"3Q21","GLPI","Gaming and Leisure Properties Inc","Real Estate",2.9
"3Q21","GWW","WW Grainger Inc","Industrials",2.9
"3Q21","LCA","Landcadia Holdings IV Inc","NULL",2.9
"3Q21","MTCH","Match Group Inc","Communication Services",2.9
"3Q21","SWKS","Skyworks Solutions Inc","Information Technology",2.9
"3Q21","WLK","Westlake Corp","Materials",2.9
"3Q21","AFRM","Affirm Holdings Inc","Financials",2.8
"3Q21","HAS","Hasbro Inc","Consumer Discretionary",2.8
"3Q21","SOFI","SoFi Technologies Inc","Financials",2.8
"3Q21","STAA","STAAR Surgical Co","Health Care",2.8
"3Q21","TRMB","Trimble Inc","Information Technology",2.8
"3Q21","DEN","Denbury Inc","Energy",2.7
"3Q21","IBOC","International Bancshares Corp","Financials",2.7
"3Q21","LII","Lennox International Inc","Industrials",2.7
"3Q21","MEG","Montrose Environmental Group Inc","Industrials",2.7
"3Q21","MNRO","Monro Inc","Consumer Discretionary",2.7
"3Q21","MPC","Marathon Petroleum Corp","Energy",2.7
"3Q21","ORI","Old Republic International Corp","Financials",2.7
"3Q21","SNOW","Snowflake Inc.","Information Technology",2.7
"3Q21","TPC","Tutor Perini Corp","Industrials",2.7
"3Q21","O","Realty Income Corp","Real Estate",2.6
"3Q21","PCTY","Paylocity Holding Corp","Industrials",2.6
"3Q21","SPNT","Siriuspoint Ltd","Financials",2.6
"3Q21","TPR","Tapestry Inc","Consumer Discretionary",2.6
"3Q21","AEM","Agnico Eagle Mines Ltd","Materials",2.5
"3Q21","AER","AerCap Holdings NV","Industrials",2.5
"3Q21","ALX","Alexander's Inc","Real Estate",2.5
"3Q21","BANR","Banner Corp","Financials",2.5
"3Q21","EAT","Brinker International Inc","Consumer Discretionary",2.5
"3Q21","ENPH","Enphase Energy Inc","Information Technology",2.5
"3Q21","FUL","H.B. Fuller Company","Materials",2.5
"3Q21","INSP","Inspire Medical Systems Inc","Health Care",2.5
"3Q21","JACK","Jack in the Box Inc","Consumer Discretionary",2.5
"3Q21","NXST","Nexstar Media Group Inc","Communication Services",2.5
"3Q21","PAHC","Phibro Animal Health Corp","Health Care",2.5
"3Q21","ACT","Enact Holdings Inc","Financials",2.4
